cancer_type	tissue
Biliary-AdenoCA	Biliary
Biliary-AdenoCA	Biliary
Biliary-AdenoCA	Biliary
Bladder-TCC	Bladder
Bladder-TCC	Bladder
Bone-Leiomyo	Bone_SoftTissue
Bone-Osteosarc	Bone_SoftTissue
Breast-AdenoCa	Breast
Breast-LobularCa	Breast
CNS-GBM	CNS
CNS-Medullo	CNS
CNS-Medullo	CNS
CNS-Medullo	CNS
CNS-Oligo	CNS
CNS-PiloAstro	CNS
Cervix-SCC	Cervix
ColoRect-AdenoCA	Colon/Rectum
ColoRect-AdenoCA	Colon/Rectum
ColoRect-AdenoCA	Colon/Rectum
ColoRect-AdenoCA	Colon/Rectum
Eso-AdenoCa	Esophagus
Head-SCC	Head/Neck
Kidney-ChRCC	Kidney
Kidney-RCC	Kidney
Kidney-RCC	Kidney
Liver-HCC	Liver
Liver-HCC	Liver
Liver-HCC	Liver
Lung-AdenoCA	Lung
Lung-AdenoCA	Lung
Lung-AdenoCA	Lung
Lung-AdenoCA	Lung
Lung-AdenoCA	Lung
Lung-SCC	Lung
Lung-SCC	Lung
Lymph-BNHL	Lymphoid
Lymph-BNHL	Lymphoid
Lymph-BNHL	Lymphoid
Lymph-BNHL	Lymphoid
Lymph-BNHL	Lymphoid
Lymph-BNHL	Lymphoid
Lymph-BNHL	Lymphoid
Lymph-BNHL	Lymphoid
Lymph-CLL	Lymphoid
Myeloid-AML	Myeloid
Myeloid-AML	Myeloid
Myeloid-MPN	Myeloid
Myeloid-MPN	Myeloid
Myeloid-MPN	Myeloid
Myeloid-MPN	Myeloid
Ovary-AdenoCA	Ovary
Ovary-AdenoCA	Ovary
Panc-AdenoCA	Pancreas
Panc-AdenoCA	Pancreas
Panc-AdenoCA	Pancreas
Panc-AdenoCA	Pancreas
Panc-AdenoCA	Pancreas
Panc-AdenoCA	Pancreas
Panc-AdenoCA	Pancreas
Panc-AdenoCA	Pancreas
Panc-Endocrine	Pancreas
Prost-AdenoCA	Prostate
Prost-AdenoCA	Prostate
Skin-Melanoma	Skin
Stomach-AdenoCA	Stomach
Stomach-AdenoCA	Stomach
Stomach-AdenoCA	Stomach
Stomach-AdenoCA	Stomach
Stomach-AdenoCA	Stomach
Stomach-AdenoCA	Stomach
Stomach-AdenoCA	Stomach
Thy-AdenoCA	Thyroid
Thy-AdenoCA	Thyroid
Thy-AdenoCA	Thyroid
Uterus-AdenoCA	Uterus
Uterus-AdenoCA	Uterus
