median_survival	group	TMB_group
6225.0	Low	High (>=10/Mb)
1711.0	Drivers	Low (0-5/Mb)
8605.0	High	High (>=10/Mb)
659.0	Medium	High (>=10/Mb)
2907.0	None	Low (0-5/Mb)
1397.0	Low	Medium (5-10/Mb)
1235.0	Drivers	High (>=10/Mb)
933.0	High	High (>=10/Mb)
2379.0	None	Low (0-5/Mb)
2803.0	Low	Low (0-5/Mb)
3365.0	Drivers	High (>=10/Mb)
1874.0	High	Medium (5-10/Mb)
1498.0	Medium	Medium (5-10/Mb)
2197.0	None	Low (0-5/Mb)
2331.0	Low	Low (0-5/Mb)
3424.0	Drivers	High (>=10/Mb)
1315.0	High	High (>=10/Mb)
1632.0	Medium	Low (0-5/Mb)
2318.0	None	Low (0-5/Mb)
1852.0	Low	Low (0-5/Mb)
1711.0	Drivers	High (>=10/Mb)
821.0	High	High (>=10/Mb)
1315.0	Medium	Low (0-5/Mb)
2561.0	None	Low (0-5/Mb)
1492.0	Low	Low (0-5/Mb)
1315.0	Drivers	High (>=10/Mb)
975.0	High	High (>=10/Mb)
1096.0	Medium	High (>=10/Mb)
2361.0	None	Low (0-5/Mb)
3258.0	Low	Low (0-5/Mb)
1628.0	High	High (>=10/Mb)
1646.0	Medium	Low (0-5/Mb)
4695.0	None	Low (0-5/Mb)
1874.0	Low	Medium (5-10/Mb)
4695.0	Drivers	Low (0-5/Mb)
821.0	High	High (>=10/Mb)
1124.0	Medium	Low (0-5/Mb)
2304.0	None	Low (0-5/Mb)
1632.0	Low	High (>=10/Mb)
1448.0	Drivers	High (>=10/Mb)
1124.0	High	High (>=10/Mb)
6225.0	Medium	Medium (5-10/Mb)
2331.0	None	Low (0-5/Mb)
2172.0	Low	Medium (5-10/Mb)
8605.0	Drivers	High (>=10/Mb)
821.0	High	High (>=10/Mb)
1632.0	Medium	High (>=10/Mb)
2561.0	None	Low (0-5/Mb)
3258.0	Low	Low (0-5/Mb)
1373.0	High	High (>=10/Mb)
1769.0	Medium	Low (0-5/Mb)
4695.0	None	Low (0-5/Mb)
1720.0	Low	High (>=10/Mb)
8605.0	Drivers	High (>=10/Mb)
975.0	High	High (>=10/Mb)
1124.0	Medium	High (>=10/Mb)
2318.0	None	Low (0-5/Mb)
6873.0	Low	Low (0-5/Mb)
988.0	Drivers	Low (0-5/Mb)
1124.0	High	High (>=10/Mb)
962.0	Medium	High (>=10/Mb)
2197.0	None	Low (0-5/Mb)
1315.0	Low	High (>=10/Mb)
2273.0	Drivers	Low (0-5/Mb)
8605.0	High	High (>=10/Mb)
2197.0	None	Low (0-5/Mb)
1096.0	Low	High (>=10/Mb)
2660.0	Drivers	Low (0-5/Mb)
975.0	High	High (>=10/Mb)
2304.0	None	Low (0-5/Mb)
1736.0	Low	Low (0-5/Mb)
480.0	Drivers	Low (0-5/Mb)
1124.0	High	High (>=10/Mb)
1732.0	Medium	Low (0-5/Mb)
2875.0	None	Low (0-5/Mb)
1711.0	Low	Low (0-5/Mb)
1336.0	Drivers	High (>=10/Mb)
1492.0	High	High (>=10/Mb)
3424.0	Medium	High (>=10/Mb)
2419.0	None	Low (0-5/Mb)
1732.0	Low	Low (0-5/Mb)
1552.0	Drivers	Low (0-5/Mb)
1315.0	High	High (>=10/Mb)
1711.0	Medium	Low (0-5/Mb)
2419.0	None	Low (0-5/Mb)
1944.0	Low	Low (0-5/Mb)
980.0	Drivers	Low (0-5/Mb)
821.0	High	High (>=10/Mb)
1628.0	Medium	High (>=10/Mb)
2561.0	None	Low (0-5/Mb)
2331.0	Low	Medium (5-10/Mb)
1065.0	Drivers	High (>=10/Mb)
975.0	High	High (>=10/Mb)
2197.0	None	Low (0-5/Mb)
1768.0	Low	Medium (5-10/Mb)
8605.0	Drivers	High (>=10/Mb)
1315.0	High	High (>=10/Mb)
1201.0	Medium	Low (0-5/Mb)
2318.0	None	Low (0-5/Mb)
1768.0	Low	Low (0-5/Mb)
933.0	Drivers	Low (0-5/Mb)
679.0	High	High (>=10/Mb)
2561.0	None	Low (0-5/Mb)
2224.0	Low	Low (0-5/Mb)
1944.0	Drivers	Low (0-5/Mb)
1124.0	High	High (>=10/Mb)
1424.0	Medium	High (>=10/Mb)
2318.0	None	Low (0-5/Mb)
1498.0	Low	Low (0-5/Mb)
1424.0	High	High (>=10/Mb)
1944.0	Medium	Medium (5-10/Mb)
3365.0	None	Low (0-5/Mb)
2318.0	Low	Medium (5-10/Mb)
1020.0	Drivers	High (>=10/Mb)
1315.0	High	High (>=10/Mb)
1235.0	Medium	High (>=10/Mb)
2379.0	None	Low (0-5/Mb)
2361.0	Low	Low (0-5/Mb)
1373.0	Drivers	Medium (5-10/Mb)
1448.0	High	High (>=10/Mb)
1498.0	Medium	Low (0-5/Mb)
2379.0	None	Low (0-5/Mb)
1852.0	Low	Low (0-5/Mb)
685.0	Drivers	Medium (5-10/Mb)
1563.0	High	High (>=10/Mb)
1732.0	Medium	Low (0-5/Mb)
2561.0	None	Low (0-5/Mb)
2273.0	Low	High (>=10/Mb)
1083.0	Drivers	Low (0-5/Mb)
1315.0	High	High (>=10/Mb)
2097.0	Medium	Medium (5-10/Mb)
2318.0	None	Low (0-5/Mb)
1768.0	Low	Low (0-5/Mb)
8605.0	Drivers	Medium (5-10/Mb)
8605.0	High	High (>=10/Mb)
821.0	Medium	Medium (5-10/Mb)
2273.0	None	Low (0-5/Mb)
1874.0	Low	High (>=10/Mb)
2419.0	Drivers	Low (0-5/Mb)
821.0	High	High (>=10/Mb)
2331.0	Medium	Medium (5-10/Mb)
2273.0	None	Low (0-5/Mb)
2224.0	Low	Low (0-5/Mb)
8605.0	Drivers	Low (0-5/Mb)
1315.0	High	High (>=10/Mb)
2197.0	Medium	Medium (5-10/Mb)
2304.0	None	Low (0-5/Mb)
