covariate	coef	exp(coef)	se(coef)	coef lower 95%	coef upper 95%	exp(coef) lower 95%	exp(coef) upper 95%	cmp to	z	p	-log2(p)
age_at_diagnosis	-0.02109423943406647	0.9791266878765313	0.05470785923025603	-0.12831967319665544	0.08613119432852251	0.879572158554082	1.0899493140938472	0.0	-0.38557969057579866	0.699807976844709	0.514968985484343
sex	-0.30598593419413	0.7363969774001808	0.8007675593285893	-1.875461510466206	1.263489642077946	0.1532842082518564	3.537745437110642	0.0	-0.38211579706186727	0.7023754749511371	0.5096856241372256
num_drivers	0.2643510767722044	1.3025854235212797	0.1777252873056959	-0.08398408548899322	0.612686239033402	0.9194458885104032	1.8453818835592235	0.0	1.4874139790670757	0.13690550708246887	2.8687476141003945
cna_burden	-0.005997040688435661	0.9940209056671441	0.012228862145834985	-0.029965170066177434	0.017971088689306112	0.9704793346908624	1.0181335403891651	0.0	-0.49040054723964543	0.6238504895186697	0.680727777137567
total_mutations	-0.0005944482554474752	0.9994057283939121	0.00030829674718726356	-0.001198698776485362	9.802265590411587e-06	0.9988020193759148	1.0000098023136328	0.0	-1.9281690801829945	0.05383409876800355	4.215335917730454
BIRC6_num_passengers	0.5410838086736396	1.7178676935165373	0.43623365861222996	-0.31391845105047234	1.3960860683977514	0.7305786036479075	4.039359211579177	0.0	1.2403531868562472	0.21484478791985093	2.218633316767333
FAT1_num_passengers	0.3302765297187729	1.391352825676821	0.6906276138828646	-1.0233287202204764	1.683881779658022	0.3593966160536764	5.38642435417297	0.0	0.478226649325363	0.6324888968950833	0.6608879408274493
FAT3_num_passengers	0.8421486375399484	2.3213493605753057	0.48089112080228313	-0.1003806397176269	1.7846779147975238	0.90449306651775	5.95766076415538	0.0	1.7512251757424215	0.07990713049959838	3.6455319422233434
KMT2C_num_passengers	0.014097363876029707	1.0141972003019732	0.40246339133057907	-0.7747163882277551	0.8029111159798145	0.46083446054502775	2.232029175691078	0.0	0.03502769240556909	0.9720576590715861	0.04088620287782381
LRP1B_num_passengers	0.356191825227532	1.4278814256740755	0.11525284876494918	0.13030039253258996	0.5820832579224741	1.1391705302534925	1.7897630878243829	0.0	3.090525128398019	0.001998028974290795	8.967206780229176
MET_num_passengers	0.3443525667114267	1.411076046258492	0.6172764234388589	-0.8654869917344328	1.554192125157286	0.4208465539218106	4.731262712666603	0.0	0.557857960608688	0.576941380262882	0.793503352620161
MTOR_num_passengers	-1.1674382292807333	0.3111630494958414	1.2137003307609013	-3.546247165596451	1.2113707070349844	0.02883264099898907	3.3580844493206925	0.0	-0.9618834235208907	0.336108166183062	1.5730024996717236
PBRM1_num_passengers	0.11162473898933827	1.1180932051236236	0.686729098700568	-1.234339561599427	1.4575890395781037	0.29102690425509714	4.295590534983063	0.0	0.16254552078913667	0.8708762844637403	0.19946030886187735
SETD2_num_passengers	1.2160819962218128	3.373942683305621	0.8878803979137775	-0.5241316062682833	2.956295598711909	0.5920692904499929	19.226616569793194	0.0	1.369646181038797	0.1707973763262639	2.5496422814638557
MET_has_driver	-1.469198423062264	0.2301098620392915	63.44467261681062	-125.81847176294566	122.88007491682113	2.2789352806538446e-55	2.3234775053616195e+53	0.0	-0.023157159812863117	0.981524910951584	0.026903211352565747
PBRM1_has_driver	-0.8374742223408351	0.4328023064445339	1.5658516031052063	-3.906486969561347	2.231538524879676	0.020111027760606536	9.314185167136323	0.0	-0.5348362646115751	0.5927630839369392	0.7544724925194102
SETD2_has_driver	-3.5057716195260076	0.030023597609741753	2.793149917417032	-8.980244861084415	1.968701622032401	0.0001258720225679669	7.161372281477041	0.0	-1.2551319202973443	0.2094308745351202	2.255453953214196
